"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","161","49.69"
"Baha'i Faith","Other","Other Groups Family","0","3","0.93"
"Catholic Church","Catholic","Catholic Liturgical Family","2","122","37.65"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","101","31.17"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","1","38","11.73"
"United Methodist Church","Mainline Protestant","Methodist Family","2","64","19.75"
" "," "," ","9.0","489.0"," "
