"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","32","1.49"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","445","20.78"
"Baha'i Faith","Other","Other Groups Family","0","7","0.33"
"Catholic Church","Catholic","Catholic Liturgical Family","6","9,170","428.12"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","53","2.47"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","32","1.49"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","372","17.37"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","54","2.52"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","57","2.66"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","3","450","21.01"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","203","9.48"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","2","101","4.72"
"United Methodist Church","Mainline Protestant","Methodist Family","4","423","19.75"
" "," "," ","29.0","11,399.0"," "
