"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","236","8.16"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","382","13.21"
"Baha'i Faith","Other","Other Groups Family","0","13","0.45"
"Catholic Church","Catholic","Catholic Liturgical Family","3","8,357","289.00"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","184","6.36"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","110","3.80"
"Church of God in Christ","Black Protestant","Pentecostal Family","2","548","18.95"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","2","353","12.21"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","680","23.52"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","42","1.45"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","31","1.07"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","26","0.90"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","174","6.02"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","0","0.00"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","4","660","22.82"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","95","3.29"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","1","64","2.21"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","5","880","30.43"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","74","2.56"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","42","1.45"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","76","2.63"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","1","73","2.52"
"United Methodist Church","Mainline Protestant","Methodist Family","2","430","14.87"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
" "," "," ","50.0","13,530.0"," "
