"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","99","2.17"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","52","1.14"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","35","0.77"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","167","3.66"
"Baha'i Faith","Other","Other Groups Family","0","17","0.37"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","28","0.61"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","5","25,052","549.65"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,597","35.04"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","43","0.94"
"Churches of Christ","Evangelical Protestant","Restorationists Family","4","113","2.48"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","112","2.46"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","5","1,129","24.77"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","18","0.39"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","138","3.03"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","43","0.94"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","10","1,331","29.20"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","11","0.24"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","2.39"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","1","10","0.22"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","193","4.23"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","461","10.11"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","510","11.19"
"United Methodist Church","Mainline Protestant","Methodist Family","1","160","3.51"
" "," "," ","61.0","31,428.0"," "
