"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","60","1.08"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","1,360","24.45"
"Baha'i Faith","Other","Other Groups Family","1","50","0.90"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","80","1.44"
"Catholic Church","Catholic","Catholic Liturgical Family","4","1,654","29.74"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","58","1.04"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","1,068","19.20"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","19","0.34"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","100","1.80"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","55","0.99"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","101","1.82"
"Hindu Yoga and Meditation","Hinduism","","1","177","3.18"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","72","1.29"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","4","916","16.47"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","224","4.03"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","7","5,340","96.01"
"Old Brethren (California)","Evangelical Protestant","Friends/Brethren Family","1","82","1.47"
"Old German Baptist Brethren Church","Evangelical Protestant","Friends/Brethren Family","1","70","1.26"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","35","0.63"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","1,127","20.26"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","5","330","5.93"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","86","1.55"
"United Methodist Church","Mainline Protestant","Methodist Family","4","282","5.07"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","57.0","13,346.0"," "
