"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","132","0.52"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","198","0.77"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","385","1.51"
"American Sikh Council","Other","Other Groups Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","3","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","16","2,442","9.55"
"Baha'i Faith","Other","Other Groups Family","1","251","0.98"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","11","0.04"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","18","102,005","398.78"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","503","1.97"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","80","0.31"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","158","0.62"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","132","0.52"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","500","1.95"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","2","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","190","0.74"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","42","0.16"
"Church of God in Christ","Black Protestant","Pentecostal Family","5","625","2.44"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","3","742","2.90"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","18","0.07"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","10","4,448","17.39"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","6","695","2.72"
"Churches of Christ","Evangelical Protestant","Restorationists Family","8","605","2.37"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","17","0.07"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","196","0.77"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","200","0.78"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","3","356","1.39"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","4","454","1.77"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","5","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","755","2.95"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","193","0.75"
"Muslim Estimate","Islam","Islam Family","1","1,109","4.34"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","198","0.77"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","18","11,412","44.61"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","64","0.25"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","8","870","3.40"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","4","1,003","3.92"
"Reform Judaism","Judaism","Judaism Family","1","65","0.25"
"Salvation Army","Evangelical Protestant","Holiness Family","2","820","3.21"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","4","998","3.90"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","24","4,649","18.17"
"United Methodist Church","Mainline Protestant","Methodist Family","6","1,832","7.16"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","6","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","192.0","139,353.0"," "
