"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","106","0.58"
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","8","817","4.49"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","220","1.21"
"Baha'i Faith","Other","Other Groups Family","1","90","0.49"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","100","0.55"
"Catholic Church","Catholic","Catholic Liturgical Family","8","12,939","71.03"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","6","6,232","34.21"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","180","0.99"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","126","0.69"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","60","0.33"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","2","134","0.74"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","11","6,413","35.21"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","630","3.46"
"Churches of Christ","Evangelical Protestant","Restorationists Family","5","559","3.07"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","5","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","287","1.58"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","273","1.50"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","12","0.07"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","160","0.88"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","60","0.33"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","4","322","1.77"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","19","3,860","21.19"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","266","1.46"
"Muslim Estimate","Islam","Islam Family","1","52","0.29"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","126","0.69"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","23","31,840","174.80"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","5","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","66","0.36"
"Salvation Army","Evangelical Protestant","Holiness Family","1","130","0.71"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","1","50","0.27"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","7","1,768","9.71"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","10","747","4.10"
"The Local Churches","Evangelical Protestant","","1","",""
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","232","1.27"
"United Methodist Church","Mainline Protestant","Methodist Family","4","813","4.46"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","2","493","2.71"
" "," "," ","155.0","70,163.0"," "
