"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","300","3.68"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","5","510","6.25"
"Baha'i Faith","Other","Other Groups Family","0","71","0.87"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","1,250","15.32"
"Catholic Church","Catholic","Catholic Liturgical Family","4","17,218","211.07"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","131","1.61"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","147","1.80"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","68","0.83"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","2,915","35.73"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","279","3.42"
"Churches of Christ","Evangelical Protestant","Restorationists Family","3","183","2.24"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","172","2.11"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","91","1.12"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","143","1.75"
"International Council of Community Churches","Mainline Protestant","Presbyterian/Reformed Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","214","2.62"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","7","3,250","39.84"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","23","0.28"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","51","0.63"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","329","4.03"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","360","4.41"
"United Methodist Church","Mainline Protestant","Methodist Family","1","432","5.30"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","56","0.69"
" "," "," ","57.0","28,193.0"," "
