"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","534","8.32"
"Baha'i Faith","Other","Other Groups Family","1","48","0.75"
"Catholic Church","Catholic","Catholic Liturgical Family","4","40,317","627.90"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","16","0.25"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,749","27.24"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","40","0.62"
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","",""
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","141","2.20"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","224","3.49"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","4","1,290","20.09"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","6","2,280","35.51"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","",""
"Salvation Army","Evangelical Protestant","Holiness Family","1","75","1.17"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","1","308","4.80"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","1","31","0.48"
"United Methodist Church","Mainline Protestant","Methodist Family","1","261","4.06"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","35.0","47,314.0"," "
