"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","168","51.92"
"Baha'i Faith","Other","Other Groups Family","0","7","2.16"
"Catholic Church","Catholic","Catholic Liturgical Family","3","52","16.07"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","243","75.09"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","1","60","18.54"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","1","48","14.83"
"United Methodist Church","Mainline Protestant","Methodist Family","2","42","12.98"
" "," "," ","10.0","620.0"," "
